,Unnamed: 0,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
2295,2295,95.09271,-32.670746,-238.96951,5.140232055565776,0.0,0.0,4.0,4.0
2296,2296,94.47133,-33.84964,-238.63521,4.893963971334402,0.0,0.0,4.0,4.0
2297,2297,94.43649,-33.932552,-238.60669,4.882622880987487,0.0,0.0,4.0,4.0
2298,2298,93.833916,-34.93191,-238.23273,4.7486823817270905,0.0,0.0,4.0,4.0
2299,2299,93.65388,-35.27716,-238.08272,4.737183775765019,0.0,0.0,4.0,4.0
2300,2300,93.26209,-35.78933,-237.7762,4.679769244366346,0.0,0.0,4.0,4.0
2301,2301,92.88967,-36.38316,-237.35423,4.6653969441238985,0.0,0.0,4.0,4.0
2302,2302,92.84355,-36.462864,-237.3118,4.666166936846189,0.0,0.0,4.0,4.0
2303,2303,92.66454,-36.69628,-237.14384,4.664574639666965,0.0,0.0,4.0,4.0
2304,2304,92.57731,-36.83743,-237.02673,4.665269743506291,0.0,0.0,4.0,4.0
2305,2305,92.08452,-37.538,-236.54198,4.71773566665717,0.0,0.0,4.0,4.0
2306,2306,92.07273,-37.56072,-236.52522,4.719550677841186,0.0,0.0,4.0,4.0
2307,2307,91.89958,-37.835556,-236.26476,4.731072135570049,0.0,0.0,4.0,4.0
4869,4869,95.09271,-32.670746,-238.96951,5.140232055565776,0.0,1.0,4.0,4.0
4870,4870,94.47133,-33.84964,-238.63521,4.893963971334402,0.0,1.0,4.0,4.0
4871,4871,94.43649,-33.932552,-238.60669,4.882622880987487,0.0,1.0,4.0,4.0
4872,4872,93.833916,-34.93191,-238.23273,4.7486823817270905,0.0,1.0,4.0,4.0
4873,4873,93.65388,-35.27716,-238.08272,4.737183775765019,0.0,1.0,4.0,4.0
4874,4874,93.26209,-35.78933,-237.7762,4.679769244366346,0.0,1.0,4.0,4.0
4875,4875,92.88967,-36.38316,-237.35423,4.6653969441238985,0.0,1.0,4.0,4.0
4876,4876,92.84355,-36.462864,-237.3118,4.666166936846189,0.0,1.0,4.0,4.0
4877,4877,92.66454,-36.69628,-237.14384,4.664574639666965,0.0,1.0,4.0,4.0
4878,4878,92.57731,-36.83743,-237.02673,4.665269743506291,0.0,1.0,4.0,4.0
4879,4879,92.08452,-37.538,-236.54198,4.71773566665717,0.0,1.0,4.0,4.0
4880,4880,92.07273,-37.56072,-236.52522,4.719550677841186,0.0,1.0,4.0,4.0
4881,4881,91.89958,-37.835556,-236.26476,4.731072135570049,0.0,1.0,4.0,4.0
7444,7444,95.09271,-32.670746,-238.96951,5.140232055565776,0.0,2.0,4.0,4.0
