,Unnamed: 0,raabe,diameter,length,bifurcation_angle,gravity_angle,approx_volume,daughter_branches,generation
0,0,1,17.395207032340636,109.61868286132812,0.0,6.732381539789579,26051.55581301976,"[1, 52]",0.0
1,1,11,15.048262692886048,35.2172614707391,31.38647971789004,37.737475804301845,6263.515998430918,"[2, 25]",1.0
2,2,110,9.047050310701346,19.5688908159146,74.19620300389886,110.94219753264464,1257.9694732701298,"[3, 7]",2.0
3,3,1101,8.086601362704307,6.041626059248936,39.74046307082795,129.89996862836767,310.29572493531833,"[4, 11]",3.0
4,4,11011,6.223610229529376,6.755386299849018,26.552229185586583,104.1400009738844,205.5061589409236,"[5, 19]",4.0
5,5,110111,5.3129319344589465,10.21467193601656,36.89909904580621,120.6475238539865,226.45546636188817,"[6, 23]",5.0
6,6,1101110,2.982518144039465,39.68885950274123,24.36700696818686,122.53181409229406,277.28392269652426,,6.0
7,7,1100,7.120134783524871,19.28136452360441,46.51849666467516,101.30506506300532,767.7221597113705,"[8, 18]",3.0
8,8,11001,6.989115745376693,2.039183401694596,29.84363079900322,109.88910715427856,78.23311708445587,"[9, 13]",4.0
9,9,110010,4.836908961054956,8.778791889274544,31.883070327539567,139.22888676331286,161.3096918954911,"[10, 15]",5.0
10,10,1100100,3.0005240143798697,24.33673732245104,54.02749646924349,129.56080708318777,172.08636056947276,,6.0
11,11,11010,5.326078816995525,8.66485208964394,42.17745635400233,172.07720406569126,193.04840286780023,"[12, 22]",4.0
12,12,110100,3.78002345191146,24.223442830271768,26.998330052684945,150.95850566097383,271.84086192658066,,5.0
13,13,110011,5.392442796358697,14.272234424674934,40.266047556792365,72.31616124398796,325.9514710178774,"[14, 24]",5.0
14,14,1100110,3.07312404562998,16.51139731519956,45.09265863168862,96.74741459623112,122.47117679342392,,6.0
15,15,1100101,5.780128389083259,2.4758784052147096,23.349926545678283,119.49699727591862,64.96720207866562,"[16, 17]",6.0
16,16,11001010,3.997969344186866,18.57365421976501,57.27317299904495,172.45915800154555,233.16650173343868,,7.0
17,17,11001011,4.02361265003595,9.446136519569698,27.242938840966232,92.53293782659624,120.10924278461256,,7.0
18,18,11000,4.20656130739718,25.12220647298366,59.00595746139849,105.06427084942273,349.14200985395144,,4.0
19,19,110110,4.745378555831193,14.651389923077108,32.15790253770203,101.12822754959186,259.12566799339726,"[20, 21]",5.0
20,20,1101100,3.123056750966118,27.97427269718206,26.17539855599389,123.288935899146,214.293223501111,,6.0
21,21,1101101,3.878515800594004,23.20837303897893,11.930788989722693,89.19854089229847,274.19889982457613,,6.0
22,22,110101,4.753719051442823,23.111382283396768,22.87720413440036,150.4675143232365,410.18788065186624,,5.0
23,23,1101111,3.698750960249375,20.8191008967842,32.8666002727016,110.58342787310656,223.6979649183935,,6.0
24,24,1100111,4.875742791118673,13.223555518324558,22.83615733183198,80.97673053097986,246.8992092038585,,6.0
25,25,111,11.744844320343262,38.1894962846646,15.364721914952003,22.92879079408914,4137.407910936149,"[26, 38, 74]",2.0
26,26,1110,7.566659045714263,27.26179723505426,66.49414577475657,82.15289260542501,1225.893365935342,"[27, 30, 33]",3.0
27,27,11100,5.231470060813262,28.322691291675063,19.78029423681053,66.49677347233664,608.7961377157443,"[28, 44]",4.0
28,28,111001,3.996000524788294,11.653869115400536,22.274556454174768,81.42979906565513,146.15412955377388,"[29, 45]",5.0
29,29,1110010,2.601857406394337,14.937325360164447,34.08720351227346,103.87422529490786,79.41996754728255,,6.0
30,30,1110-1,5.211886551835288,17.246519416675063,69.70807858199234,103.80463740058964,367.9435977745245,"[31, 49]",4.0
31,31,1110-11,4.890385986231767,1.6170944438089183,13.75462421985847,103.2558873369518,30.37466821839624,"[32, 37]",5.0
32,32,1110-110,2.513732643853297,16.813924133348962,37.49522127875671,88.9001177514474,83.4443882101063,,6.0
33,33,11101,5.386731669457076,21.081541389331317,23.117119801046623,78.32619366999603,480.44416994070406,"[34, 35]",4.0
34,34,111010,4.2258446781621455,21.94145268537277,32.69307349045309,47.690656656428,307.7388452973691,,5.0
35,35,111011,4.968354624900987,13.469353381173551,15.083505393699133,90.6310852953177,261.1330264714688,"[36, 50]",5.0
36,36,1110111,4.155909366550961,15.336982050342476,35.04515645907951,88.74562560645062,208.04722440373263,,6.0
37,37,1110-111,3.464575177979545,27.61662799077084,12.05201232728598,114.30763445861172,260.35175544302666,,6.0
38,38,111-1,7.301902192181135,9.973131463569883,70.78007715555466,77.85101903501015,417.63169220106977,"[39, 42]",3.0
39,39,111-10,5.093679341346758,26.643028548684825,18.044903551349016,85.48497478102365,542.9210431224622,"[40, 41, 46]",4.0
40,40,111-101,3.909408869923857,23.89707529292172,47.77564394702477,38.07084503136711,286.851299221187,,5.0
41,41,111-10-1,2.825547089562394,21.08729135737484,75.39954688065752,139.62990317602765,132.22567080619226,,5.0
42,42,111-11,6.189877747951981,1.9699290308625572,64.472586917736,101.3924439768485,59.27950999643673,"[43, 47]",4.0
43,43,111-110,4.1045616513948495,17.996175170213462,37.94219773424585,139.20511505071508,238.1242689306792,,5.0
44,44,111000,3.1266396578599176,25.50638147501968,21.924749988706868,47.93819051627761,195.83684159377412,,5.0
45,45,1110011,3.190722939927113,18.702351452693744,30.29966999505345,68.7917327677608,149.54237880561664,,6.0
46,46,111-100,2.8277356985363373,26.806964514113123,23.740107663700204,101.96620593097867,168.3507866269994,,5.0
47,47,111-111,4.415109925035962,5.855862975389243,43.446489007220094,58.14942153430796,89.65279404943523,"[48, 51]",5.0
48,48,111-1111,3.901036636649035,14.756884429571862,56.21187569364197,64.79242589071468,176.37808193495434,,6.0
49,49,1110-10,3.321937555488658,26.281324790488604,49.29154449438492,100.404687429212,227.78234713164795,,5.0
50,50,1110110,3.807038829297017,20.440165796680365,29.67340661261053,91.07067231543373,232.67456371985008,,6.0
51,51,111-1110,2.657912464800137,19.016806457159756,33.19790456298164,66.29335362724346,105.51369103326462,,6.0
