,0
0,19.13
1,19.42
2,19.44
3,19.46
4,19.17
5,19.19
6,19.17
7,19.23
8,19.13
9,18.47
10,17.91
11,17.64
12,17.43
13,17.34
14,17.16
15,17.14
16,16.98
17,16.82
18,16.56
19,16.26
20,16.12
21,15.96
22,15.89
23,15.81
24,15.73
25,15.52
26,15.45
27,15.28
28,15.13
29,14.97
30,14.92
31,14.86
32,14.8
33,14.7
34,14.6
35,14.49
36,14.43
37,14.37
38,14.28
39,14.16
40,14.13
41,14.06
42,14.02
43,13.96
44,13.9
45,13.82
46,13.76
47,13.74
48,13.69
49,13.62
50,13.57
51,13.5
52,13.41
53,13.4
54,13.37
55,13.28
56,13.25
57,13.21
58,13.15
59,13.1
60,13.06
61,13.02
62,12.97
63,12.98
64,12.97
65,12.97
66,12.97
67,12.98
68,12.95
69,12.88
70,12.89
71,12.9
72,12.94
73,12.95
74,12.94
75,13.0
76,13.03
77,13.1
78,13.18
79,13.26
80,13.35
81,13.48
82,13.55
83,13.55
84,13.59
85,13.65
86,13.61
87,13.56
88,13.5
89,13.41
90,13.34
91,13.36
92,13.22
93,13.16
94,13.06
95,13.04
96,12.9
97,12.74
98,12.57
99,12.42
100,12.28
101,12.11
102,12.05
103,11.97
104,11.89
105,11.84
106,11.81
107,11.77
108,11.7
109,11.6
110,11.48
111,11.35
112,11.3
113,11.25
114,11.13
115,11.07
116,11.05
117,10.95
118,10.89
119,10.83
120,10.79
121,10.73
122,10.64
123,10.59
124,10.59
125,10.55
126,10.47
127,10.42
128,10.37
129,10.28
130,10.17
131,10.08
132,10.04
133,9.98
134,9.92
135,9.87
136,9.83
137,9.77
138,9.68
139,9.6
140,9.54
141,9.5
142,9.42
143,9.34
144,9.29
145,9.25
146,9.21
147,9.13
148,9.06
149,9.01
150,8.95
151,8.88
152,8.81
153,8.74
154,8.68
155,8.62
156,8.58
157,8.52
158,8.46
159,8.4
160,8.35
161,8.29
162,8.25
163,8.18
164,8.12
165,8.05
166,8.02
167,7.97
168,7.94
169,7.91
170,7.86
171,7.8
172,7.76
173,7.7
174,7.66
175,7.62
176,7.59
177,7.55
178,7.52
179,7.48
180,7.42
181,7.39
182,7.38
183,7.34
184,7.29
185,7.29
186,7.27
187,7.25
188,7.23
189,7.22
190,7.22
191,7.22
192,7.22
193,7.22
194,7.25
195,7.27
196,7.26
197,7.29
198,7.31
199,7.35
200,7.4
201,7.43
202,7.49
203,7.54
204,7.6
205,7.67
206,7.75
207,7.83
208,7.82
209,7.38
210,6.58
211,5.65
212,4.87
213,4.11
214,3.35
215,2.71
216,2.05
217,1.34
218,0.6
219,0.24
220,0.15
221,0.17
222,0.2
223,0.27
224,0.77
225,1.38
226,1.13
227,1.53
228,2.26
229,3.32
230,4.55
231,5.81
232,7.13
233,8.09
234,8.94
235,9.67
236,10.3
237,10.86
238,11.47
239,12.0
240,12.38
241,12.65
242,13.0
243,13.48
244,13.8
245,14.27
246,14.8
247,15.39
248,15.89
249,16.36
250,17.04
251,17.7
252,18.3
253,18.74
254,19.3
255,19.92
256,20.47
257,21.1
258,21.74
259,22.4
260,23.16
261,23.89
262,24.64
263,25.3
264,25.96
265,26.76
266,27.33
267,28.09
268,28.66
269,29.13
270,29.8
271,30.28
272,30.82
273,31.21
274,31.73
275,32.33
276,32.55
277,33.1
278,33.79
279,34.45
280,34.63
281,35.27
282,35.51
283,35.84
284,36.08
285,36.49
286,36.74
287,36.98
288,37.6
289,37.66
290,38.04
291,37.9
292,38.02
293,38.43
294,38.69
295,38.91
296,38.26
297,37.48
298,36.77
299,35.77
300,35.16
301,34.28
302,33.8
303,33.26
304,32.49
305,32.31
306,31.6
307,30.84
308,30.44
309,29.96
310,29.46
311,28.81
312,28.27
313,27.81
314,27.34
315,26.96
316,26.63
317,26.02
318,25.61
319,25.16
320,24.79
321,24.38
322,23.86
323,23.59
324,23.33
325,22.75
326,22.67
327,22.37
328,21.88
329,21.42
330,21.17
331,20.92
332,20.59
333,20.42
334,20.1
335,19.78
336,19.43
337,19.14
338,18.88
339,18.59
340,18.38
341,18.06
342,17.84
343,17.59
344,17.31
345,17.05
346,16.76
347,16.52
348,16.22
349,15.94
350,15.74
351,15.58
352,15.32
353,15.08
354,14.85
355,14.6
356,14.38
357,14.25
358,14.06
359,13.82
360,13.6
361,13.39
362,13.26
363,13.01
364,12.75
365,12.61
366,12.4
367,12.2
368,12.01
369,11.87
370,11.63
371,11.42
372,11.23
373,11.07
374,10.89
375,10.7
376,10.52
377,10.35
378,10.24
379,10.06
380,9.9
381,9.78
382,9.6
383,9.43
384,9.24
385,9.05
386,8.95
387,8.83
388,8.69
389,8.54
390,8.41
391,8.24
392,8.06
393,7.96
394,7.83
395,7.71
396,7.3
397,6.34
398,5.22
399,4.23
400,3.23
401,2.17
402,1.14
403,0.43
404,0.22
405,0.17
406,0.16
407,0.33
408,0.23
409,0.2
410,0.25
411,0.31
412,0.37
413,0.46
414,0.54
415,0.67
416,0.79
417,0.93
418,1.12
419,1.41
420,1.78
421,2.17
422,2.56
423,2.97
424,3.34
425,3.67
426,3.97
427,4.28
428,4.58
429,4.9
430,5.2
431,5.52
432,5.8
433,6.07
434,6.31
435,6.48
436,6.73
437,6.97
438,7.19
439,7.38
440,7.56
441,7.7
442,7.86
443,8.0
444,8.17
445,8.43
446,8.67
447,8.86
448,9.01
449,9.19
450,9.32
451,9.53
452,9.76
453,9.87
454,9.97
455,10.12
456,10.33
457,10.53
458,10.71
459,10.91
460,11.14
461,11.21
462,11.24
463,11.41
464,11.62
465,11.79
466,11.94
467,12.09
468,12.23
469,12.3
470,12.39
471,12.59
472,12.83
473,13.04
474,13.24
