,0
0,12.86
1,13.05
2,13.22
3,13.32
4,13.55
5,13.71
6,13.87
7,14.15
8,14.39
9,14.48
10,14.54
11,14.7
12,14.9
13,15.08
14,15.24
15,15.41
16,15.58
17,15.68
18,15.82
19,16.08
20,16.21
21,16.36
22,16.53
23,16.59
24,16.57
25,16.76
26,16.94
27,17.09
28,17.18
29,17.22
30,17.29
31,17.38
32,17.54
33,17.58
34,17.62
35,17.86
36,17.91
37,17.92
38,17.97
39,18.06
40,18.1
41,18.23
42,18.28
43,18.28
44,18.37
45,18.55
46,18.7
47,18.92
48,19.18
49,18.93
50,18.13
51,17.45
52,17.41
53,17.47
54,17.39
55,17.38
56,17.46
57,17.39
58,17.28
59,17.2
60,17.09
61,17.04
62,17.16
63,17.39
64,17.43
65,17.29
66,17.01
67,16.78
68,16.5
69,16.29
70,16.23
71,16.23
72,16.17
73,15.99
74,15.81
75,15.74
76,15.61
77,15.47
78,15.34
79,15.29
80,15.2
81,15.05
82,14.97
83,14.91
84,14.83
85,14.73
86,14.68
87,14.54
88,14.4
89,14.36
90,14.37
91,14.27
92,14.16
93,14.11
94,14.06
95,14.03
96,13.96
97,13.92
98,13.85
99,13.76
100,13.69
101,13.67
102,13.7
103,13.54
104,13.55
105,13.51
106,13.45
107,13.46
108,13.45
109,13.39
110,13.35
111,13.3
112,13.26
113,13.22
114,13.26
115,13.25
116,13.23
117,13.18
118,13.2
119,13.17
120,13.14
121,13.13
122,13.14
123,13.18
124,13.12
125,13.11
126,13.11
127,13.09
128,13.03
129,12.98
130,12.88
131,12.86
132,12.81
133,12.71
134,12.68
135,12.55
136,12.45
137,12.27
138,12.1
139,11.95
140,11.81
141,11.59
142,11.41
143,11.18
144,10.97
145,10.84
146,10.69
147,10.54
148,10.36
149,10.17
150,10.0
151,9.87
152,9.72
153,9.58
154,9.47
155,9.32
156,9.22
157,9.09
158,8.95
159,8.81
160,8.68
161,8.6
162,8.49
163,8.38
164,8.25
165,8.13
166,8.01
167,7.93
168,7.86
169,7.79
170,7.74
171,7.68
172,7.63
173,7.54
174,7.45
175,7.37
176,7.33
177,7.3
178,7.28
179,7.25
180,7.18
181,7.12
182,7.09
183,7.09
184,7.1
185,7.11
186,7.11
187,7.1
188,7.09
189,7.09
190,7.12
191,7.15
192,7.16
193,7.19
194,7.21
195,7.28
196,7.35
197,7.4
198,7.45
199,7.49
200,7.56
201,7.64
202,7.71
203,7.78
204,7.85
205,7.93
206,8.01
207,8.1
208,8.18
209,8.25
210,8.33
211,8.43
212,8.51
213,8.61
214,8.7
215,8.78
216,8.87
217,8.94
218,9.0
219,9.07
220,9.15
221,9.2
222,9.24
223,9.23
224,9.25
225,9.26
226,9.28
227,9.25
228,9.25
229,9.24
230,9.24
231,9.23
232,9.19
233,9.14
234,9.13
235,9.13
236,9.09
237,9.05
238,9.0
239,8.94
240,8.91
241,8.87
242,8.81
243,8.74
244,8.69
245,8.64
246,8.56
247,8.49
248,8.42
249,8.1
250,6.98
251,5.24
252,3.53
253,1.81
254,0.59
255,0.52
256,0.62
257,1.04
258,1.87
259,3.28
260,5.03
261,6.75
262,8.41
263,9.92
264,10.86
265,11.37
266,11.86
267,12.27
268,12.17
269,11.86
270,11.63
271,11.68
272,11.46
273,11.18
274,10.97
275,10.85
276,10.72
277,10.71
278,10.82
279,10.98
280,11.09
281,11.31
282,11.69
283,12.11
284,12.57
285,13.09
286,13.84
287,14.68
288,15.51
289,16.27
290,17.06
291,17.99
292,18.7
293,19.09
294,19.23
295,19.75
296,20.22
297,20.87
298,21.34
299,21.94
300,22.53
301,23.34
302,23.86
303,24.6
304,25.39
305,26.07
306,26.52
307,27.1
308,27.78
