,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.01
118,0.01
119,0.02
120,0.02
121,0.03
122,0.03
123,0.04
124,0.04
125,0.04
126,0.07
127,0.12
128,0.14
129,0.19
130,0.26
131,0.36
132,0.49
133,0.68
134,0.91
135,1.22
136,2.06
137,2.56
138,2.83
139,3.12
140,3.28
141,3.48
142,3.62
143,3.76
144,3.9
145,4.01
146,4.13
147,4.21
148,4.33
149,4.47
150,4.62
151,4.8
152,4.92
153,5.03
154,5.13
155,5.22
156,5.27
157,5.35
158,5.5
159,5.63
160,5.79
161,5.92
162,6.03
163,6.14
164,6.2
165,6.21
166,6.31
167,6.42
168,6.51
169,6.63
170,6.79
171,6.92
172,7.07
173,7.19
174,7.27
175,7.3
176,7.39
177,7.46
178,7.56
179,7.71
180,7.88
181,8.03
182,8.13
183,8.23
184,8.31
185,8.36
186,8.41
187,8.52
188,8.64
189,8.77
190,8.97
191,9.07
192,9.15
193,9.31
194,9.43
195,9.49
196,9.57
197,9.64
198,9.71
199,9.87
200,10.06
201,10.27
202,10.41
203,10.47
204,10.49
205,10.55
206,10.58
207,10.67
208,10.76
209,10.96
210,11.14
211,11.29
212,11.4
213,11.46
214,11.46
215,11.47
216,11.46
217,11.5
218,11.61
219,11.75
220,11.87
221,12.01
222,12.17
223,12.35
224,12.47
225,12.56
226,12.6
227,12.7
228,12.77
229,12.91
230,13.08
231,13.28
232,13.3
233,13.35
234,13.41
235,13.59
236,13.65
237,13.73
238,13.92
239,14.03
240,14.11
241,14.26
242,14.31
243,14.46
244,14.57
245,14.65
246,14.72
247,14.82
248,14.95
249,15.03
250,15.13
251,15.35
252,15.38
253,15.27
254,15.14
255,15.13
256,15.37
257,15.66
258,15.74
259,15.83
260,15.81
261,15.84
262,15.88
263,16.02
264,16.09
265,16.23
266,16.29
267,16.3
268,16.34
269,16.49
270,16.55
271,16.62
272,16.66
273,16.67
274,16.8
275,16.84
276,16.84
277,16.89
278,17.05
279,17.17
280,17.26
281,17.24
282,17.34
283,17.46
284,17.4
285,17.5
286,17.61
287,17.64
288,17.77
289,17.89
290,18.08
291,18.12
292,18.1
293,18.25
294,18.44
295,18.55
296,18.84
297,18.99
298,19.1
299,19.07
300,18.88
301,18.95
302,18.96
303,18.98
304,19.08
305,19.06
306,19.05
307,19.14
308,19.32
309,19.74
310,20.04
311,20.0
312,20.1
313,20.36
314,20.7
315,21.03
316,21.3
317,21.49
318,21.63
319,21.96
320,22.05
321,22.06
322,22.21
323,22.37
324,22.65
325,22.88
326,22.84
327,22.68
328,22.87
329,23.11
330,23.28
331,23.43
332,23.6
333,23.67
334,23.77
335,23.8
336,24.01
337,24.17
338,24.33
339,24.51
340,24.64
341,24.74
342,24.85
343,24.99
344,24.89
345,25.08
346,25.27
347,25.39
348,25.41
349,25.65
350,25.81
351,25.76
352,25.78
353,25.96
354,25.99
355,26.07
356,26.14
357,26.38
358,26.29
359,26.38
360,26.37
361,26.6
362,26.65
363,26.46
364,26.71
365,26.93
366,26.79
367,26.95
368,27.03
369,26.94
370,27.16
371,27.18
372,27.03
373,26.82
374,26.93
375,27.01
376,26.94
377,26.99
378,26.93
379,26.83
380,26.61
381,26.49
382,26.58
383,26.64
384,26.35
385,26.27
386,26.12
387,25.85
388,25.99
389,25.77
390,25.83
391,25.71
392,25.47
393,25.36
394,25.4
395,25.36
396,25.31
397,25.06
398,24.94
399,24.8
400,24.68
401,24.8
402,24.75
403,24.6
404,24.34
405,24.25
406,24.0
407,24.04
408,23.86
409,23.96
410,23.44
411,23.2
412,23.17
413,23.03
414,22.83
415,22.69
416,22.46
417,22.33
418,22.22
419,21.94
420,21.86
421,21.68
422,21.69
423,21.34
424,21.18
425,21.11
426,21.05
427,20.84
428,20.74
429,20.68
430,20.42
431,20.35
432,20.13
433,20.01
434,19.88
435,19.59
436,19.55
437,19.42
438,19.3
439,19.16
440,19.02
441,18.83
442,18.71
443,18.59
444,18.29
445,18.14
446,17.85
447,17.5
448,17.37
449,17.1
450,17.01
451,16.96
452,16.76
453,16.57
454,16.55
455,16.37
456,16.28
457,16.16
458,15.95
459,15.82
460,15.67
461,15.58
462,15.33
463,15.24
464,15.14
465,14.96
466,14.91
467,14.79
468,14.63
469,14.54
470,14.44
471,14.35
472,14.2
473,14.17
474,14.02
475,13.92
476,13.87
477,13.85
478,13.85
479,13.76
480,13.66
481,13.61
482,13.52
483,13.44
484,13.23
485,13.03
486,12.86
487,12.73
488,12.74
489,12.65
490,12.46
491,12.19
492,11.93
493,11.81
494,11.79
495,11.72
496,11.53
497,11.4
498,11.27
499,11.17
500,11.09
501,11.02
502,10.91
503,10.81
504,10.74
505,10.67
506,10.61
507,10.57
508,10.52
509,10.48
510,10.44
511,10.38
512,10.34
513,10.32
514,10.3
515,10.28
516,10.27
517,10.26
518,10.22
519,10.24
520,10.26
521,10.27
522,10.27
523,10.28
524,10.3
525,10.31
526,10.32
527,10.36
528,10.4
529,10.42
530,10.43
531,10.47
532,10.51
533,10.56
534,10.6
535,10.65
536,10.77
537,10.87
538,10.97
539,11.16
540,11.34
541,11.57
542,11.74
543,11.99
544,12.08
545,11.62
546,10.86
547,10.19
548,9.85
549,9.9
550,9.91
551,9.86
552,9.77
553,9.62
554,9.38
555,9.08
556,8.92
557,8.89
558,8.88
559,8.76
560,8.63
561,8.52
562,8.42
563,8.26
564,7.98
565,7.82
566,7.78
567,7.61
568,7.29
569,7.06
570,6.94
571,6.78
