,0
0,5.19
1,4.91
2,4.39
3,3.87
4,3.35
5,2.92
6,2.54
7,2.24
8,2.05
9,1.9
10,1.75
11,1.59
12,1.48
13,1.37
14,1.18
15,0.77
16,0.3
17,0.13
18,0.1
19,0.26
20,0.62
21,0.91
22,1.06
23,1.16
24,1.25
25,1.18
26,1.0
27,0.9
28,0.99
29,1.12
30,1.14
31,1.08
32,1.04
33,1.04
34,0.92
35,0.65
36,0.47
37,0.4
38,0.32
39,0.24
40,0.24
41,0.35
42,0.59
43,0.84
44,1.48
45,2.81
46,4.9
47,7.27
48,9.36
49,11.41
50,13.45
51,15.35
52,16.99
53,18.45
54,19.96
55,21.42
56,22.74
57,23.96
58,25.17
59,26.36
60,27.34
61,28.29
62,29.23
63,30.1
64,31.12
65,31.97
66,32.32
67,33.33
68,34.24
69,34.83
70,35.53
71,36.08
72,36.51
73,36.48
74,37.29
75,38.06
76,38.65
77,39.08
78,39.54
79,39.88
80,40.35
81,40.95
82,40.97
83,41.73
84,41.98
85,42.19
86,43.23
87,43.43
88,43.78
89,43.91
90,44.23
91,44.67
92,44.85
93,44.78
94,44.92
95,45.12
96,45.0
97,45.72
98,45.43
99,46.19
100,46.22
101,46.57
102,47.03
103,47.07
104,47.01
105,46.91
106,47.46
107,47.16
108,47.21
109,47.15
110,47.79
111,48.04
112,48.26
113,48.34
114,48.73
115,48.86
116,48.63
117,48.27
118,48.66
119,48.98
120,48.83
121,48.81
122,48.53
123,48.72
124,48.71
125,48.95
126,48.84
127,48.94
128,49.01
129,48.52
130,48.49
131,48.11
132,48.37
133,48.4
134,48.53
135,48.65
136,48.12
137,48.21
138,48.15
139,48.15
140,48.35
141,47.75
142,47.34
143,47.46
144,47.38
145,47.25
146,46.74
147,46.79
148,46.69
149,46.3
150,46.46
151,46.11
152,45.83
153,44.8
154,43.63
155,42.37
156,41.85
157,40.96
158,39.92
159,38.98
160,38.39
161,37.54
162,36.82
163,35.9
164,35.44
165,35.0
166,33.99
167,33.12
168,32.7
169,31.92
170,31.53
171,30.69
172,30.27
173,29.69
174,29.15
175,28.58
176,28.13
177,27.42
178,27.0
179,26.55
180,26.08
181,25.47
182,25.06
183,24.78
184,24.48
185,23.92
186,23.54
187,23.25
188,22.86
189,22.44
190,22.17
191,21.85
192,21.52
193,21.2
194,21.09
195,20.88
196,20.64
197,20.27
198,20.08
199,19.81
200,19.45
201,19.38
202,19.1
203,18.84
204,18.68
205,18.46
206,18.27
207,17.88
208,17.58
209,17.18
210,16.91
211,16.69
212,16.36
213,16.05
214,15.87
215,15.48
216,15.18
217,14.88
218,14.65
219,14.28
220,14.05
221,13.79
222,13.56
223,13.34
224,13.02
225,12.72
226,12.44
227,12.26
228,12.03
229,11.81
230,11.61
231,11.44
232,11.22
233,10.95
234,10.79
235,10.59
236,10.35
237,10.16
238,9.96
239,9.77
240,9.55
241,9.4
242,9.24
243,9.05
244,8.89
245,8.69
246,8.54
247,8.38
248,8.21
249,8.07
250,7.94
251,7.83
252,7.74
253,7.32
254,6.67
255,5.95
256,5.24
257,4.56
258,3.86
259,3.16
260,2.54
261,1.91
262,1.29
263,0.84
264,0.57
265,0.36
266,0.21
267,0.14
268,0.11
269,0.1
270,0.09
271,0.08
272,0.08
273,0.08
274,0.11
275,0.15
276,0.22
277,0.33
278,0.48
279,0.62
280,0.78
281,1.02
282,1.3
283,1.59
284,1.85
285,2.14
286,2.39
287,2.63
288,2.88
289,3.13
290,3.39
291,3.66
292,3.94
293,4.21
294,4.46
295,4.7
296,4.91
297,5.15
298,5.33
299,5.5
300,5.65
301,5.82
302,6.05
303,6.25
304,6.43
305,6.57
306,6.72
307,6.84
308,6.95
309,7.05
310,7.18
311,7.29
312,7.44
313,7.61
314,7.76
315,7.88
316,7.99
317,8.08
318,8.14
319,8.19
320,8.26
321,8.34
322,8.47
323,8.61
324,8.75
325,8.83
326,8.9
327,8.93
328,8.95
329,8.96
330,9.02
331,9.1
332,9.22
333,9.36
334,9.48
335,9.55
336,9.61
337,9.64
338,9.65
339,9.66
340,9.73
341,9.84
342,10.0
343,10.21
344,10.34
345,10.46
346,10.54
347,10.61
348,10.66
349,10.73
350,10.82
351,10.92
352,11.1
353,11.25
354,11.4
355,11.51
356,11.62
357,11.76
358,11.83
359,11.9
360,11.98
361,12.08
362,12.24
363,12.4
364,12.57
365,12.72
366,12.83
367,12.97
368,13.12
369,13.24
370,13.34
371,13.47
372,13.63
373,13.78
374,13.92
375,14.07
376,14.17
377,14.29
378,14.32
379,14.39
380,14.53
381,14.66
382,14.78
383,14.87
384,14.91
385,15.01
386,15.11
387,15.26
388,15.29
389,15.35
390,15.42
391,15.52
392,15.67
393,15.8
394,15.9
395,15.87
396,15.76
397,15.76
398,15.87
399,15.99
400,16.1
401,16.13
402,16.27
403,16.43
404,16.42
405,16.52
406,16.5
407,16.42
408,16.52
409,16.65
410,16.63
411,16.71
412,16.81
413,16.92
414,17.06
415,17.15
416,17.16
417,17.1
418,17.17
419,17.2
420,17.22
421,17.22
422,17.26
423,17.33
424,17.45
425,17.55
426,17.54
427,17.43
428,17.51
429,17.51
430,17.58
431,17.46
432,17.52
433,17.58
434,17.59
435,17.68
436,17.72
437,17.86
438,18.02
439,18.24
440,18.31
441,18.11
442,18.14
443,18.16
444,18.36
445,18.85
446,19.22
447,19.44
448,19.38
449,19.36
450,19.57
451,19.74
452,19.89
453,19.93
454,19.97
455,20.13
456,20.23
457,20.26
458,20.23
459,20.2
460,20.2
461,20.38
462,20.22
463,20.14
464,20.2
465,20.24
466,20.3
467,20.55
468,20.47
469,20.46
470,20.44
471,20.34
472,20.29
473,20.26
474,20.29
475,20.28
476,20.35
477,20.47
478,20.79
479,20.92
480,20.86
481,20.49
482,20.52
483,20.22
484,20.3
485,20.29
486,20.17
487,20.03
488,19.72
489,19.83
490,20.03
491,20.27
492,20.54
493,20.66
494,20.86
495,21.2
496,21.3
497,21.49
498,21.69
499,22.03
500,22.13
501,22.26
502,22.39
503,22.49
504,22.52
505,22.7
506,22.89
507,22.97
508,22.99
509,22.92
510,22.88
511,22.9
512,23.01
513,23.22
514,23.17
515,23.29
516,23.18
517,23.14
518,23.11
519,23.03
520,23.19
521,23.26
522,23.29
523,23.29
524,23.34
525,23.39
526,23.39
527,23.14
528,23.19
529,23.07
530,23.11
531,23.24
532,23.14
533,23.09
534,22.92
535,23.01
536,23.2
537,23.13
538,23.16
539,23.11
540,23.17
541,23.17
542,23.16
543,23.15
544,23.17
545,23.09
546,23.04
547,23.13
548,23.08
549,23.04
550,23.04
551,22.91
552,23.07
553,23.03
554,22.97
555,22.65
556,22.24
557,22.03
558,21.81
559,21.55
560,21.46
561,21.31
562,21.21
563,21.19
564,21.04
565,20.88
566,20.64
567,20.58
568,20.29
569,20.22
570,19.96
571,19.79
572,19.67
573,19.52
574,19.54
575,19.26
576,19.12
577,19.04
578,19.02
579,18.84
580,18.62
581,18.67
582,18.6
583,18.38
584,18.26
585,18.05
586,17.89
587,17.83
588,17.73
589,17.64
590,17.56
591,17.36
592,17.25
593,17.15
594,17.11
595,16.99
596,16.88
597,16.79
598,16.75
599,16.64
600,16.42
601,16.32
602,16.22
603,16.1
604,16.09
605,15.98
606,15.73
607,15.42
608,15.18
609,14.84
610,14.73
611,14.5
612,14.19
613,13.86
614,13.6
615,13.41
616,13.21
617,12.98
618,12.78
619,12.52
620,12.3
621,12.14
622,11.95
623,11.74
624,11.53
625,11.31
626,11.08
627,10.9
628,10.73
629,10.53
630,10.36
631,10.15
632,9.98
633,9.77
634,9.61
635,9.45
636,9.29
637,9.15
638,9.03
639,8.88
640,8.7
641,8.54
642,8.42
643,8.33
644,8.2
645,8.09
646,7.97
647,7.85
648,7.75
649,7.65
650,7.57
651,7.47
652,7.39
653,7.32
654,7.23
655,7.14
656,7.08
657,7.0
658,6.9
659,6.82
660,6.76
661,6.72
662,6.63
663,6.58
664,6.55
665,6.52
666,6.53
667,6.6
668,6.78
669,6.97
670,7.2
671,7.49
672,7.74
673,8.01
674,8.26
675,8.48
676,8.67
677,8.93
678,9.18
679,9.43
680,9.61
681,9.76
682,9.91
683,10.09
684,10.24
685,10.34
686,10.41
687,10.39
688,10.08
689,9.27
690,8.53
691,8.17
692,8.16
693,8.18
694,8.11
695,7.93
696,7.64
697,7.38
698,7.12
699,6.91
700,6.71
701,6.5
702,6.39
703,6.26
704,6.08
705,5.87
706,5.73
707,5.62
708,5.47
709,5.32
710,5.18
711,5.09
712,4.99
713,4.87
714,4.74
715,4.64
716,4.56
717,4.48
718,4.39
719,4.3
720,4.2
721,4.13
722,4.06
723,4.02
724,3.97
725,3.92
726,3.87
727,3.84
728,3.83
729,3.84
730,3.86
731,3.91
732,3.91
733,3.88
734,3.85
735,3.81
736,3.75
737,3.68
738,3.67
739,3.66
740,3.67
741,3.69
742,3.7
743,3.74
744,3.79
745,3.86
746,3.94
747,4.06
748,4.17
749,4.31
750,4.47
751,4.62
752,4.81
753,5.0
754,5.17
755,5.15
756,4.75
757,4.24
758,3.72
759,3.24
760,2.83
761,2.47
762,2.21
763,2.02
764,1.87
765,1.66
766,1.48
767,1.37
768,1.25
769,0.98
770,0.57
771,0.21
772,0.11
773,0.12
774,0.38
775,0.73
776,1.01
777,1.18
778,1.31
779,1.39
780,1.29
781,1.12
782,1.11
783,1.24
784,1.32
785,1.27
786,1.2
787,1.2
788,1.18
789,0.94
790,0.67
791,0.51
792,0.48
793,0.38
794,0.29
795,0.33
796,0.51
797,0.75
798,1.11
799,2.01
800,3.65
801,5.69
802,7.7
803,9.7
804,11.86
805,13.91
806,15.74
807,17.22
808,18.72
809,20.29
810,21.7
811,22.93
