,0
0,0.11
1,0.11
2,0.12
3,0.13
4,0.15
5,0.21
6,0.5
7,0.83
8,1.1
9,1.35
10,1.63
11,1.92
12,2.2
13,2.44
14,2.68
15,2.93
16,3.17
17,3.36
18,3.55
19,3.72
20,3.88
21,4.03
22,4.2
23,4.36
24,4.51
25,4.69
26,4.88
27,5.03
28,5.14
29,5.25
30,5.4
31,5.59
32,5.77
33,5.93
34,6.08
35,6.21
36,6.35
37,6.5
38,6.6
39,6.7
40,6.79
41,6.92
42,7.04
43,7.17
44,7.33
45,7.42
46,7.56
47,7.65
48,7.76
49,7.81
50,7.9
51,8.01
52,8.1
53,8.21
54,8.33
55,8.45
56,8.55
57,8.62
58,8.69
59,8.76
60,8.89
61,8.95
62,9.03
63,9.1
64,9.23
65,9.33
66,9.42
67,9.53
68,9.6
69,9.71
70,9.8
71,9.85
72,9.91
73,9.99
74,10.02
75,10.11
76,10.23
77,10.31
78,10.38
79,10.49
80,10.55
81,10.61
82,10.69
83,10.79
84,10.85
85,10.94
86,11.09
87,11.25
88,11.37
89,11.43
90,11.52
91,11.6
92,11.66
93,11.74
94,11.88
95,11.98
96,12.13
97,12.31
98,12.48
99,12.61
100,12.67
101,12.72
102,12.79
103,12.92
104,12.98
105,13.07
106,13.32
107,13.55
108,13.7
109,13.85
110,13.89
111,14.0
112,14.06
113,14.12
114,14.22
115,14.29
116,14.43
117,14.51
118,14.57
119,14.6
120,14.69
121,14.8
122,14.96
123,15.0
124,15.1
125,15.1
126,15.27
127,15.42
128,15.59
129,15.55
130,15.54
131,15.62
132,15.73
133,15.84
134,15.9
135,16.05
136,16.2
137,16.28
138,16.31
139,16.37
140,16.38
141,16.52
142,16.63
143,16.63
144,16.68
145,16.82
146,16.91
147,17.12
148,17.24
149,17.24
150,17.26
151,17.38
152,17.44
153,17.44
154,17.5
155,17.57
156,17.66
157,17.83
158,17.95
159,18.07
160,18.07
161,18.15
162,18.34
163,18.49
164,18.69
165,18.76
166,18.87
167,19.12
168,19.3
169,19.51
170,19.83
171,20.17
172,20.15
173,20.11
174,20.06
175,20.1
176,20.48
177,20.71
178,20.86
179,20.92
180,20.87
181,20.97
182,20.92
183,21.06
184,21.24
185,21.2
186,21.27
187,21.29
188,21.4
189,21.55
190,21.6
191,21.73
192,21.85
193,21.94
194,21.86
195,21.87
196,21.9
197,22.05
198,21.95
199,21.79
200,21.82
201,21.74
202,21.93
203,21.8
204,21.76
205,21.81
206,21.7
207,21.64
208,21.51
209,21.52
210,21.35
211,21.41
212,21.28
213,21.2
214,20.99
215,20.9
216,20.74
217,20.58
218,20.6
219,20.45
220,20.32
221,20.09
222,19.71
223,19.07
224,19.17
225,19.44
226,20.11
227,20.6
228,20.58
229,20.67
230,20.96
231,21.28
232,21.46
233,21.58
234,21.59
235,21.69
236,21.84
237,21.95
238,21.94
239,22.04
240,22.18
241,21.95
242,22.18
243,22.28
244,22.21
245,22.49
246,22.59
247,22.41
248,22.49
249,22.46
250,22.54
251,22.46
252,22.68
253,22.67
254,22.62
255,22.62
256,22.7
257,22.66
258,22.77
259,22.72
260,22.62
261,22.71
262,22.72
263,22.86
264,22.84
265,22.85
266,22.81
267,22.87
268,22.84
269,22.79
270,22.85
271,22.63
272,22.64
273,22.69
274,22.59
275,22.7
276,22.62
277,22.59
278,22.58
279,22.53
280,22.43
281,22.36
282,22.31
283,21.97
284,21.66
285,21.37
286,21.11
287,21.14
288,21.13
289,20.99
290,20.73
291,20.47
292,20.4
293,20.32
294,20.18
295,19.97
296,19.74
297,19.66
298,19.54
299,19.34
300,19.26
301,18.98
302,18.63
303,18.51
304,18.29
305,18.03
306,17.93
307,17.86
308,17.61
309,17.4
310,17.19
311,17.05
312,16.81
313,16.73
314,16.56
315,16.44
316,16.31
317,16.15
318,16.02
319,15.98
320,15.84
321,15.7
322,15.53
323,15.38
324,15.19
325,14.99
326,14.8
327,14.57
328,14.41
329,14.26
330,14.08
331,13.95
332,13.85
333,13.69
334,13.48
335,13.39
336,13.23
337,13.13
338,13.01
339,12.85
340,12.7
341,12.55
342,12.39
343,12.25
344,12.12
345,11.97
346,11.82
347,11.67
348,11.5
349,11.4
350,11.27
351,11.08
352,10.93
353,10.8
354,10.72
355,10.62
356,10.45
357,10.3
358,10.16
359,10.04
360,9.93
361,9.77
362,9.64
363,9.53
364,9.41
365,9.3
366,9.19
367,9.1
368,9.02
369,8.93
370,8.84
371,8.78
372,8.73
373,8.69
374,8.6
375,8.56
376,8.49
377,8.48
378,8.47
379,8.45
