,0
0,14.35
1,14.59
2,14.84
3,15.09
4,15.22
5,15.38
6,15.5
7,15.7
8,15.88
9,16.1
10,16.28
11,16.35
12,16.41
13,16.44
14,16.46
15,16.54
16,16.68
17,16.86
18,16.96
19,16.93
20,17.05
21,17.18
22,17.27
23,17.43
24,17.52
25,17.63
26,17.8
27,17.94
28,18.17
29,18.5
30,18.67
31,18.68
32,18.26
33,18.07
34,17.88
35,17.8
36,17.57
37,17.39
38,17.14
39,16.93
40,16.75
41,16.59
42,16.47
43,16.46
44,16.29
45,16.1
46,16.01
47,16.0
48,15.85
49,15.64
50,15.54
51,15.43
52,15.39
53,15.26
54,15.13
55,15.06
56,14.89
57,14.79
58,14.75
59,14.66
60,14.53
61,14.43
62,14.35
63,14.34
64,14.24
65,14.19
66,14.14
67,14.05
68,14.0
69,13.9
70,13.84
71,13.78
72,13.75
73,13.66
74,13.65
75,13.61
76,13.63
77,13.63
78,13.62
79,13.59
80,13.48
81,13.35
82,13.25
83,13.18
84,13.17
85,13.22
86,13.22
87,13.13
88,13.07
89,12.91
90,12.7
91,12.61
92,12.61
93,12.57
94,12.43
95,12.28
96,12.15
97,12.0
98,11.94
99,11.85
100,11.78
101,11.67
102,11.5
103,11.42
104,11.35
105,11.27
106,11.17
107,11.1
108,10.99
109,10.89
110,10.81
111,10.76
112,10.76
113,10.61
114,10.51
115,10.41
116,10.33
117,10.29
118,10.22
119,10.13
120,10.02
121,9.96
122,9.89
123,9.8
124,9.72
125,9.7
126,9.62
127,9.53
128,9.47
129,9.43
130,9.37
131,9.29
132,9.21
133,9.16
134,9.13
135,9.05
136,8.95
137,8.9
138,8.87
139,8.83
140,8.77
141,8.68
142,8.65
143,8.6
144,8.52
145,8.47
146,8.43
147,8.36
148,8.3
149,8.26
150,8.22
151,8.17
152,8.1
153,8.0
154,7.97
155,7.94
156,7.9
157,7.83
158,7.77
159,7.74
160,7.67
161,7.62
162,7.6
163,7.56
164,7.5
165,7.42
166,7.38
167,7.36
168,7.34
169,7.24
170,7.2
171,7.17
172,7.14
173,7.07
174,7.01
175,6.98
176,6.93
177,6.89
178,6.84
179,6.81
180,6.78
181,6.73
182,6.66
183,6.63
184,6.63
185,6.6
186,6.54
187,6.5
188,6.47
189,6.46
190,6.44
191,6.42
192,6.41
193,6.39
194,6.39
195,6.38
196,6.38
197,6.36
198,6.36
199,6.32
200,6.31
201,6.31
202,6.3
203,6.28
204,6.26
205,6.27
206,6.25
207,6.24
208,6.25
209,6.27
210,6.25
211,6.26
212,6.26
213,6.28
214,6.3
215,6.28
216,6.26
217,6.28
218,6.32
219,6.34
220,6.35
221,6.38
222,6.42
223,6.47
224,6.5
225,6.56
226,6.59
227,6.66
228,6.72
229,6.78
230,6.86
231,6.82
232,6.4
233,5.66
234,4.9
235,4.18
236,3.61
237,3.19
238,2.79
239,2.21
240,1.4
241,0.6
242,0.22
243,0.18
244,0.21
245,0.28
246,0.33
247,0.54
248,1.08
249,1.69
250,2.35
251,3.34
252,4.25
253,5.25
254,6.4
255,7.7
256,8.94
257,10.0
258,10.93
259,11.75
260,12.16
261,12.0
262,11.75
263,12.32
264,12.75
265,12.94
266,13.3
267,13.63
268,13.87
269,14.09
270,14.42
271,14.76
272,15.27
273,15.9
274,16.58
275,17.37
276,18.08
277,18.84
278,19.4
279,19.94
280,20.43
281,20.97
282,21.61
283,22.36
284,23.03
285,23.67
286,24.57
287,25.28
288,25.89
289,26.54
290,27.13
291,27.74
292,28.25
293,28.88
294,29.58
295,30.09
296,30.57
297,31.07
298,31.42
299,32.01
300,32.48
301,32.6
302,32.84
303,33.23
304,33.62
305,33.92
306,34.05
307,33.99
308,34.35
309,34.65
310,34.62
311,34.88
312,35.16
313,35.33
314,35.39
315,35.5
316,35.69
317,35.86
318,35.86
319,35.11
320,34.3
321,33.64
322,32.86
323,31.79
324,31.02
325,30.65
326,30.1
327,29.35
328,28.79
329,28.23
330,27.53
331,26.97
332,26.46
333,25.98
334,25.52
335,25.09
336,24.48
337,24.11
338,23.54
339,23.22
340,22.79
341,22.4
342,22.0
343,21.53
344,21.23
345,20.78
346,20.54
347,20.18
348,19.76
349,19.49
350,19.21
351,18.9
352,18.44
353,18.18
354,17.94
355,17.57
356,17.25
357,16.9
358,16.68
359,16.35
360,16.05
361,15.82
362,15.5
363,15.26
364,14.96
365,14.72
366,14.46
367,14.22
368,14.03
369,13.83
370,13.57
371,13.28
372,13.01
373,12.86
374,12.67
375,12.4
376,12.11
377,11.97
378,11.76
379,11.55
380,11.3
381,11.09
382,10.85
383,10.74
384,10.5
385,10.31
386,10.1
387,9.91
388,9.77
389,9.59
390,9.4
391,9.19
392,9.07
393,8.88
394,8.7
395,8.54
396,8.39
397,8.21
398,8.07
399,7.89
400,7.77
401,7.64
402,7.46
403,7.29
404,7.16
405,7.05
406,6.97
407,6.83
408,6.7
409,6.63
410,6.54
411,6.47
412,6.37
413,6.26
414,6.16
415,6.06
416,5.99
417,5.88
418,5.8
419,5.46
420,4.65
421,3.71
422,2.91
423,2.14
424,1.4
425,0.77
426,0.34
427,0.2
428,0.17
429,0.14
430,0.13
431,0.12
432,0.11
433,0.11
434,0.11
435,0.12
436,0.15
437,0.18
438,0.24
439,0.36
440,0.61
441,0.9
442,1.18
443,1.47
444,1.75
445,2.02
446,2.34
447,2.64
448,2.88
449,3.06
450,3.27
451,3.5
452,3.72
453,3.91
454,4.09
455,4.39
456,4.64
457,4.84
458,5.02
459,5.24
460,5.47
461,5.63
462,5.8
463,5.98
464,6.15
465,6.29
466,6.47
467,6.72
468,6.95
469,7.15
470,7.31
471,7.42
472,7.52
473,7.73
474,7.88
475,8.06
476,8.26
477,8.47
478,8.58
479,8.75
480,8.92
481,9.12
482,9.26
483,9.53
484,9.64
485,9.8
486,10.02
487,10.23
488,10.45
489,10.69
490,10.88
491,11.03
492,11.15
493,11.31
494,11.51
495,11.63
496,11.82
497,12.03
498,12.15
499,12.34
500,12.53
501,12.77
502,13.03
503,13.21
504,13.49
505,13.8
506,13.98
507,14.09
508,14.32
509,14.55
510,14.81
511,15.06
512,15.23
513,15.36
514,15.53
515,15.67
516,15.8
517,16.06
518,16.31
519,16.33
520,16.31
521,16.35
522,16.5
523,16.56
524,16.71
525,16.81
526,16.9
527,16.9
528,16.98
529,17.1
530,17.18
531,17.35
532,17.51
533,17.68
534,17.93
535,18.08
536,18.16
537,18.36
538,18.6
539,18.72
540,18.37
541,18.08
542,18.08
543,17.85
544,17.66
545,17.38
546,17.29
547,17.01
548,16.93
549,16.68
550,16.58
551,16.52
552,16.31
553,16.18
554,16.15
555,16.0
556,15.91
557,15.79
558,15.57
559,15.42
560,15.38
561,15.32
562,15.16
563,15.06
564,15.0
565,14.89
566,14.77
567,14.67
568,14.59
569,14.55
570,14.44
571,14.39
572,14.32
573,14.23
574,14.14
575,14.06
576,14.02
577,13.98
578,13.91
579,13.81
580,13.76
581,13.76
582,13.67
583,13.63
584,13.65
585,13.72
586,13.72
587,13.59
588,13.44
589,13.41
590,13.47
591,13.55
592,13.43
593,13.32
594,13.19
595,13.03
596,12.92
597,12.86
598,12.86
599,12.73
600,12.57
601,12.47
602,12.36
603,12.29
604,12.19
605,12.07
606,11.94
607,11.87
608,11.74
609,11.59
610,11.51
611,11.41
612,11.32
613,11.25
614,11.17
615,11.08
616,11.02
617,10.87
618,10.8
619,10.79
620,10.81
621,10.69
622,10.55
623,10.5
624,10.37
625,10.28
626,10.25
627,10.2
628,10.08
629,10.0
630,9.89
631,9.81
632,9.76
633,9.67
634,9.6
635,9.54
636,9.46
637,9.42
638,9.35
639,9.27
640,9.2
641,9.13
642,9.09
643,9.03
644,8.98
645,8.93
646,8.87
647,8.81
648,8.75
649,8.7
650,8.65
651,8.58
652,8.5
653,8.46
654,8.43
655,8.37
656,8.31
657,8.23
658,8.18
659,8.14
660,8.09
661,8.02
662,7.97
663,7.91
664,7.87
665,7.82
666,7.77
667,7.72
668,7.66
669,7.62
670,7.57
671,7.52
672,7.45
673,7.39
674,7.35
675,7.32
676,7.28
677,7.23
678,7.17
679,7.13
680,7.08
681,7.03
