,0
0,0.0
1,0.0
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.0
13,0.01
14,0.01
15,0.0
16,0.01
17,0.0
18,0.01
19,0.0
20,0.0
21,0.01
22,0.01
23,0.0
24,0.01
25,0.0
26,0.0
27,0.0
28,0.01
29,0.0
30,0.01
31,0.01
32,0.0
33,0.0
34,0.01
35,0.0
36,0.01
37,0.0
38,0.0
39,0.0
40,0.01
41,0.0
42,0.0
43,0.01
44,0.0
45,0.01
46,0.01
47,0.01
48,0.0
49,0.01
50,0.01
51,0.01
52,0.01
53,0.01
54,0.01
55,0.01
56,0.01
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.0
65,0.0
66,0.01
67,0.01
68,0.0
69,0.0
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.0
76,0.0
77,0.0
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.01
85,0.01
86,0.01
87,0.01
88,0.01
89,0.01
90,0.0
91,0.01
92,0.01
93,0.01
94,0.0
95,0.01
96,0.01
97,0.01
98,0.01
99,0.01
100,0.01
101,0.01
102,0.0
103,0.01
104,0.0
105,0.0
106,0.0
107,0.01
108,0.01
109,0.0
110,0.01
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
116,0.0
117,0.01
118,0.01
119,0.01
120,0.01
121,0.01
122,0.01
123,0.01
124,0.01
125,0.01
126,0.0
127,0.01
128,0.0
129,0.01
130,0.0
131,0.01
132,0.01
133,0.0
134,0.01
135,0.01
136,0.01
137,0.0
138,0.01
139,0.0
140,0.01
141,0.01
142,0.01
143,0.01
144,0.01
145,0.01
146,0.01
147,0.01
148,0.01
149,0.01
150,0.01
151,0.01
152,0.0
153,0.01
154,0.0
155,0.01
156,0.0
157,0.01
158,0.0
159,0.0
160,0.01
161,0.0
162,0.0
163,0.0
164,0.0
165,0.01
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.01
173,0.01
174,0.01
175,0.0
176,0.0
177,0.01
178,0.01
179,0.0
180,0.0
181,0.01
182,0.01
183,0.01
184,0.01
185,0.01
186,0.0
187,0.0
188,0.0
189,0.01
190,0.0
191,0.01
192,0.0
193,0.01
194,0.0
195,0.01
196,0.0
197,0.01
198,0.01
199,0.01
200,0.0
201,0.0
202,0.01
203,0.01
204,0.01
205,0.01
206,0.0
207,0.01
208,0.01
209,0.01
210,0.01
211,0.01
212,0.01
213,0.01
214,0.01
215,0.0
216,0.01
217,0.0
218,0.01
219,0.01
220,0.01
221,0.01
222,0.0
223,0.01
224,0.0
225,0.01
226,0.0
227,0.01
228,0.01
229,0.01
230,0.01
231,0.0
232,0.01
233,0.01
234,0.01
235,0.01
236,0.01
237,0.01
238,0.01
239,0.01
240,0.01
241,0.0
242,0.01
243,0.01
244,0.01
245,0.01
246,0.01
247,0.01
248,0.0
249,0.01
250,0.01
251,0.0
252,0.0
253,0.0
254,0.0
255,0.01
256,0.01
257,0.01
258,0.0
259,0.01
260,0.0
261,0.0
262,0.01
263,0.01
264,0.01
265,0.0
266,0.0
267,0.0
268,0.01
269,0.0
270,0.0
271,0.01
272,0.01
273,0.0
274,0.0
275,0.01
276,0.01
277,0.01
278,0.01
279,0.01
280,0.0
281,0.01
282,0.01
283,0.01
284,0.01
285,0.01
286,0.01
287,0.0
288,0.01
289,0.0
290,0.01
291,0.01
292,0.01
293,0.0
294,0.01
295,0.01
296,0.01
297,0.01
298,0.0
299,0.0
300,0.01
301,0.0
302,0.01
303,0.0
304,0.0
305,0.0
306,0.01
307,0.01
308,0.01
309,0.01
310,0.0
311,0.0
312,0.01
313,0.0
314,0.0
315,0.01
316,0.0
317,0.01
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.01
324,0.0
325,0.01
326,0.01
327,0.0
328,0.0
329,0.0
330,0.01
331,0.01
332,0.0
333,0.01
334,0.0
335,0.0
336,0.0
337,0.0
338,0.01
339,0.0
340,0.01
341,0.01
342,0.01
343,0.0
344,0.0
345,0.01
346,0.01
347,0.01
348,0.0
349,0.01
350,0.0
351,0.0
352,0.0
353,0.01
354,0.01
355,0.0
356,0.01
357,0.0
358,0.0
359,0.0
360,0.01
361,0.0
362,0.01
363,0.0
364,0.01
365,0.0
366,0.01
367,0.01
368,0.0
369,0.0
370,0.0
371,0.01
372,0.0
373,0.0
374,0.01
375,0.0
376,0.0
377,0.0
378,0.01
379,0.0
380,0.01
381,0.01
382,0.01
383,0.0
384,0.01
385,0.0
386,0.01
387,0.01
388,0.01
389,0.01
390,0.01
391,0.01
392,0.0
393,0.01
394,0.01
395,0.0
396,0.01
397,0.01
398,0.0
399,0.01
400,0.0
401,0.01
402,0.01
403,0.01
404,0.01
405,0.01
406,0.01
407,0.01
408,0.0
409,0.01
410,0.0
411,0.01
412,0.01
413,0.0
414,0.01
415,0.01
416,0.01
417,0.01
418,0.01
419,0.0
420,0.01
421,0.01
422,0.0
423,0.01
424,0.0
425,0.01
426,0.01
427,0.0
428,0.0
429,0.01
430,0.01
431,0.0
432,0.0
433,0.01
434,0.01
435,0.0
436,0.01
437,0.0
438,0.01
439,0.01
440,0.0
441,0.01
442,0.01
443,0.0
444,0.01
445,0.01
446,0.0
447,0.01
448,0.0
449,0.01
450,0.0
451,0.0
452,0.01
453,0.01
454,0.0
455,0.0
456,0.01
457,0.01
458,0.01
459,0.01
460,0.0
461,0.0
462,0.01
463,0.01
464,0.0
465,0.01
466,0.01
467,0.0
468,0.01
469,0.01
470,0.01
471,0.0
472,0.0
473,0.01
474,0.01
475,0.0
476,0.01
477,0.0
478,0.01
479,0.0
480,0.01
481,0.01
482,0.01
483,0.0
484,0.01
485,0.0
486,0.01
487,0.01
488,0.0
489,0.0
490,0.01
491,0.0
492,0.01
493,0.0
494,0.01
495,0.01
496,0.0
497,0.0
498,0.0
499,0.01
500,0.0
501,0.0
502,0.0
503,0.01
504,0.01
505,0.01
506,0.01
507,0.0
508,0.01
509,0.01
510,0.01
511,0.01
512,0.01
513,0.0
514,0.0
515,0.0
516,0.0
517,0.01
518,0.01
519,0.01
520,0.01
521,0.01
522,0.0
523,0.01
524,0.0
525,0.01
526,0.0
527,0.01
528,0.01
529,0.01
530,0.0
531,0.0
532,0.01
533,0.01
534,0.01
535,0.01
536,0.0
537,0.01
538,0.0
539,0.0
540,0.01
541,0.0
542,0.01
543,0.01
544,0.01
545,0.01
546,0.0
547,0.01
548,0.01
549,0.0
550,0.01
551,0.0
552,0.01
553,0.0
554,0.0
555,0.0
556,0.0
557,0.01
558,0.01
559,0.01
560,0.0
561,0.01
562,0.01
563,0.01
564,0.0
565,0.0
566,0.0
567,0.0
568,0.01
569,0.01
570,0.01
571,0.0
