,0
0,16.03
1,15.97
2,15.91
3,15.8
4,15.75
5,15.72
6,15.66
7,15.61
8,15.53
9,15.47
10,15.38
11,15.37
12,15.31
13,15.24
14,15.13
15,15.09
16,15.01
17,14.94
18,14.83
19,14.74
20,14.67
21,14.57
22,14.48
23,14.37
24,14.29
25,14.21
26,14.09
27,13.99
28,13.88
29,13.76
30,13.67
31,13.56
32,13.46
33,13.33
34,13.24
35,13.16
36,13.03
37,12.9
38,12.79
39,12.69
40,12.58
41,12.48
42,12.36
43,12.23
44,12.12
45,12.06
46,11.95
47,11.87
48,11.75
49,11.64
50,11.53
51,11.45
52,11.36
53,11.28
54,11.19
55,11.12
56,11.08
57,11.04
58,10.97
59,10.85
60,10.72
61,10.67
62,10.56
63,10.4
64,10.29
65,10.24
66,10.13
67,10.01
68,9.86
69,9.72
70,9.63
71,9.53
72,9.43
73,9.31
74,9.22
75,9.12
76,9.02
77,8.87
78,8.78
79,8.7
80,8.61
81,8.5
82,8.39
83,8.3
84,8.21
85,8.15
86,8.06
87,7.97
88,7.86
89,7.78
90,7.69
91,7.62
92,7.55
93,7.47
94,7.38
95,7.31
96,7.24
97,7.17
98,7.11
99,7.02
100,6.93
101,6.86
102,6.79
103,6.74
104,6.68
105,6.6
106,6.54
107,6.47
108,6.43
109,6.39
110,6.31
111,6.23
112,6.17
113,6.15
114,6.12
115,6.05
116,5.98
117,5.93
118,5.89
119,5.86
120,5.82
121,5.75
122,5.47
123,4.5
124,3.46
125,2.65
126,1.39
127,0.59
128,1.79
129,3.59
130,4.78
131,5.65
132,6.11
133,6.34
134,6.71
135,7.11
136,7.47
137,8.03
138,8.63
139,9.26
140,9.69
141,10.08
142,10.84
143,11.64
144,12.28
145,13.13
146,13.99
147,14.91
148,15.76
149,16.43
150,17.17
151,18.0
152,18.79
153,19.72
154,20.76
155,21.6
156,22.31
157,22.95
158,23.71
159,24.52
160,25.3
161,25.78
162,26.62
163,27.31
164,28.18
165,29.13
166,30.14
167,30.81
168,31.49
169,32.08
170,32.69
171,33.64
172,33.87
173,34.53
174,35.0
175,35.59
176,35.85
177,36.32
178,36.77
179,37.2
180,37.27
181,37.74
182,37.8
183,38.13
184,38.67
185,38.94
186,39.28
187,39.5
188,39.72
189,40.02
190,39.95
191,40.55
192,40.58
193,41.0
194,40.9
195,41.02
196,41.41
197,40.81
