lobe,part,mass
rm,c,2981.26
rm,c,2997.4
rm,c,2992.3
rm,p-tr-1,640.79
rm,p-tr-1,651.1
rm,p-tr-1,638.48
rm,p-tr-1,638.39
rm,p-tr-2,3191.29
rm,p-tr-2,3170.61
rm,p-tr-2,3124.32
rm,p-tr-2,3040.34
rm,p-quarter,4993.19
rm,p-quarter,4097.86
rm,p-quarter,4996.91
rm,p-quarter,5071.64
rm,p-quarter,4989.71
rm,p-quarter,4893.87
rm,p-quarter,5048.82
rm,p-quarter,5062.67
ru,c,9268.48
ru,c,9341.43
ru,c,9269.31
ru,p-tr-1,1210.67
ru,p-tr-1,1202.51
ru,p-tr-1,1134.16
ru,p-tr-1,1199.85
ru,p-tr-2,5851.06
ru,p-tr-2,5810.38
ru,p-tr-2,5654.21
ru,p-tr-2,5824.77
ru,p-quarter,12716.24
ru,p-quarter,12851.43
ru,p-quarter,12579.12
ru,p-quarter,12701.88
ru,p-quarter,12033.43
ru,p-quarter,11656.15
ru,p-quarter,11449.75
ru,p-quarter,11529.13
rl,p-quarter,16801.66
rl,p-quarter,16200.19
rl,p-quarter,17042.14
rl,p-quarter,16120.03
rl,p-quarter,15943.26
rl,p-quarter,15929.78
rl,p-quarter,16789.31
rl,p-quarter,15929.02
rl,p-quarter,16401.54
rl,p-quarter,16885.36
rl,p-quarter,17173.75
rl,p-quarter,17602.68
rl,p-tr-1,3589.5
rl,p-tr-1,3560.59
rl,p-tr-1,3595.77
rl,p-tr-1,3679.28
rl,p-tr-2,12699.5
rl,p-tr-2,13129.52
rl,p-tr-2,13015.42
rl,p-tr-2,13077.15
rl,c,22403.86
rl,c,22387.34
rl,c,22933.37
lu,p-quarter,13970.31
lu,p-quarter,12948.79
lu,p-quarter,13007.02
lu,p-quarter,14120.84
lu,p-quarter,12822.77
lu,p-quarter,13154.76
lu,p-quarter,13733.99
lu,p-quarter,13863.95
lu,p-tr-1,2064.33
lu,p-tr-1,1968.15
lu,p-tr-1,2070.36
lu,p-tr-1,2094.14
lu,p-tr-2,6462.52
lu,p-tr-2,6614.98
lu,p-tr-2,6460.56
lu,p-tr-2,6541.86
lu,c,8285.8
lu,c,8317.76
lu,c,8317.36
ll,p-tr-2,6318.21
ll,p-tr-2,6181.55
ll,p-tr-2,6255.98
ll,p-tr-2,6298.9
ll,p-tr-1,3233.95
ll,p-tr-1,3208.33
ll,p-tr-1,3200.14
ll,p-tr-1,3080.04
ll,p-quarter,13704.74
ll,p-quarter,13782.24
ll,p-quarter,13736.26
ll,p-quarter,15042.86
ll,p-quarter,14017.13
ll,p-quarter,13991.26
ll,p-quarter,13772.08
ll,p-quarter,14738.25
ll,p-quarter,14671.14
ll,p-quarter,13984.55
ll,p-quarter,14103.84
ll,p-quarter,14589.3
ll,p-quarter,14930.89
ll,p-quarter,14774.76
ll,p-quarter,14350.13
ll,p-quarter,14557.34
ll,c,21026.98
ll,c,21650.8
ll,c,21371.29
