name,lobe,part,rhinovol,rhinosa,ncell,parts
230324-3a0-01,ru,p-quarter,10747.7691,92500.9882,6,3
230324-31b-43,rl,p-quarter,14295.3573,122313.85,6,3
230324-d1a-4e,rm,p-quarter,4741.40394,40875.53,6,3
230324-d09-35,lu,p-quarter,11317.7373,96903.5442,6,3
230326-f46-9d,ll,p-quarter,12774.2949,109307.874,6,3
230328-7e8-62,ll,p-tr-1,3371.28414,28144.0629,6,1
230328-ff4-be,ll,p-tr-2,6811.05613,56704.6621,6,1
230328-fe5-77,ll,c,17999.3941,26300.7113,,4
230328-7ea-1b,lu,c,7160.35328,10178.5924,,4
230328-d4f-5f,lu,p-tr-1,2265.19112,18859.4136,,1
230328-e09-23,lu,p-tr-2,6792.22747,56427.2717,,1
230328-0ee-e6,rl,p-tr-2,13174.1641,109182.886,,1
230328-e53-e3,rl,p-tr-1,3943.48936,32897.688,,1
230328-2f6-39,rl,c,19347.3597,28225.6221,,4
230328-5c7-8d,rm,c,2618.26092,4115.80951,,4
230328-942-c6,rm,p-tr-2,3239.91576,27049.4755,,1
230328-b26-94,rm,p-tr-1,806.819213,6794.53531,,1
230328-37e-b7,ru,c,8038.66958,11214.7091,,4
230328-78e-c8,ru,p-tr-2,6111.80374,51012.8149,,1
230328-c15-85,ru,p-tr-1,1402.96554,11771.1086,,1
