generation,tubes,length,diameter,branching_angle,gravity_angle,cross_section,volume,cumulative_volume
1,1,10,2.01,0,0,3.17,31.73,31.73
2,1,5.63,1.38,40,15,1.5,8.42,40.15
3,1,1.42,1.15,25,10,1.04,1.47,41.62
4,2,1.33,0.905,48,55,1.29,1.71,43.33
5,4,1.13,0.68,25,48,1.45,1.64,44.97
6,8,0.891,0.559,31,41,1.96,1.75,46.72
7,16,1.02,0.454,22,39,2.59,2.64,49.36
8,32,0.836,0.365,27,37,3.35,2.8,52.16
9,64,0.778,0.316,27,36,5.02,3.91,56.07
10,128,0.771,0.298,28,36,8.93,6.88,62.95
11,256,0.611,0.286,31,46,16.45,10.05,73
12,512,0.544,0.211,40,45,17.9,9.74,82.74
13,1024,0.431,0.146,46,48,17.14,7.39,90.13
14,2048,0.302,0.102,50,60,16.73,5.05,95.18
15,4096,0.224,0.076,52,60,18.58,4.16,99.34
16,8192,0.188,0.061,54,60,23.94,4.5,103.84
17,16384,0.152,0.055,45,60,38.93,5.92,109.76
18,32768,0.124,0.051,45,60,66.94,8.3,118.06
19,65536,0.103,0.049,45,60,123.58,12.73,130.79
20,131072,0.087,0.047,45,60,227.4,19.78,150.57
21,262144,0.076,0.046,45,60,435.66,33.11,183.68
22,524288,0.066,0.045,45,60,833.84,55.03,238.71
23,1048576,0.059,0.044,45,60,1594.39,94.07,332.78
24,2097152,0.053,0.043,45,60,3045.49,161.41,494.19
25,9.23E+07,0.025,0.03,45,60,,1191.22,1685.41
