generation,tubes,length,diameter,branching_angle,gravity_angle,cross_section,volume,cumulative_volume
1,1,10,2.01,0,0,3.17,31.73,31.73
2,1,5.63,1.38,40,15,1.5,8.42,40.15
3,1,1.45,1.03,35,50,0.83,1.21,41.36
4,2,1.08,0.835,30,18,1.1,1.18,42.54
5,4,1.02,0.64,21,35,1.29,1.31,43.86
6,8,1.09,0.535,15,33,1.8,1.96,45.82
7,16,1.02,0.426,25,45,2.28,2.33,48.14
8,32,0.751,0.341,28,37,2.92,2.19,50.34
9,64,0.832,0.307,28,42,4.74,3.94,54.28
10,128,0.555,0.234,25,49,5.5,3.06,57.33
11,256,0.482,0.178,34,43,6.37,3.07,60.4
12,512,0.388,0.135,34,44,7.33,2.84,63.25
13,1024,0.343,0.1,41,60,8.04,2.76,66.01
14,2048,0.267,0.078,47,60,9.79,2.61,68.62
15,4096,0.215,0.061,55,60,11.97,2.57,71.19
16,8192,0.175,0.055,45,60,19.46,3.41,74.6
17,16384,0.144,0.051,45,60,33.47,4.82,79.42
18,32768,0.118,0.048,45,60,59.3,7,86.41
19,65536,0.098,0.047,45,60,113.7,11.14,97.56
20,131072,0.082,0.045,45,60,208.46,17.09,114.65
21,262144,0.071,0.044,45,60,398.6,28.3,141.95
22,524288,0.06,0.044,45,60,797.2,47.83,190.78
23,1048576,0.053,0.043,45,60,1522.74,80.71,271.49
24,4.62E+07,0.025,0.03,45,60,,596.26,867.75
