generation,tubes,length,diameter,branching_angle,gravity_angle,cross_section,volume,cumulative_volume
1,1,10,2.01,,,3.17,31.73,
2,1,3.09,1.75,,,2.41,7.43,
3,1,3.02,1.33,,,1.39,4.2,
4,1,2.27,0.72,,,0.41,0.92,
5,2,1.34,0.62,,,0.6,0.81,
6,4,1.63,0.528,,,0.88,1.43,
7,8,1.04,0.376,,,0.89,0.92,
8,16,1.04,0.317,,,1.26,1.31,
9,32,0.691,0.268,,,1.81,1.25,
10,64,0.527,0.199,,,1.99,1.05,
11,128,0.394,0.147,,,2.17,0.86,
12,256,0.266,0.106,,,2.26,0.6,
13,512,0.225,0.083,,,2.77,0.62,
14,1024,0.172,0.064,,,3.29,0.57,
15,2048,0.118,0.051,,,4.18,0.49,
16,4096,0.105,0.048,,,7.41,0.78,
17,8192,0.091,0.046,,,13.61,1.24,
18,16384,0.08,0.044,,,24.91,1.99,
19,32768,0.072,0.044,,,49.82,3.59,
20,65536,0.066,0.043,,,95.17,6.28,
21,131072,0.061,0.043,,,190.34,11.61,
22,262144,0.056,0.043,,,380.69,21.32,
23,524288,0.053,0.043,,,761.37,40.35,
24,2.31E+07,0.025,0.03,,,,298.13,
