generation,tubes,length,diameter,branching_angle,gravity_angle,cross_section,volume,cumulative_volume
1,1,10,2.01,,,3.17,31.73,
2,1,3.09,1.75,,,2.41,7.43,
3,1,1.22,1.02,,,0.82,1,
4,2,0.8,0.76,,,0.91,0.73,
5,4,1.27,0.65,,,1.33,1.69,
6,8,1.25,0.579,,,2.11,2.63,
7,16,0.827,0.454,,,2.59,2.14,
8,32,0.988,0.355,,,3.17,3.13,
9,64,0.798,0.278,,,3.88,3.1,
10,128,0.557,0.216,,,4.69,2.61,
11,256,0.401,0.158,,,5.02,2.01,
12,512,0.35,0.118,,,5.6,1.96,
13,1024,0.25,0.088,,,6.23,1.56,
14,2048,0.194,0.07,,,7.88,1.53,
15,4096,0.143,0.058,,,10.82,1.55,
16,8192,0.119,0.053,,,18.07,2.15,
17,16384,0.102,0.049,,,30.9,3.15,
18,32768,0.089,0.047,,,56.85,5.06,
19,65536,0.078,0.045,,,104.23,8.13,
20,131072,0.07,0.044,,,199.3,13.95,
21,262144,0.063,0.044,,,398.6,25.11,
22,524288,0.057,0.043,,,761.37,43.4,
23,1.05E+06,0.053,0.043,,,1522.74,80.71,
24,4.62E+07,0.025,0.03,,,,596.26,
