generation,tubes,length,diameter,branching_angle,gravity_angle,cross_section,volume,cumulative_volume
1,1,10,2.01,,,3.17,31.73,31.73
2,2,4.36,1.56,,,3.82,16.67,48.4
3,4,1.78,1.13,,,4.01,7.14,55.54
4,8,0.965,0.827,,,4.3,4.15,59.69
5,16,0.995,0.651,,,5.33,5.3,64.98
6,32,1.01,0.574,,,8.28,8.36,73.35
7,64,0.89,0.435,,,9.51,8.47,81.81
8,128,0.962,0.373,,,13.99,13.46,95.27
9,256,0.867,0.322,,,20.85,18.07,113.34
10,512,0.667,0.257,,,26.56,17.72,131.06
11,1024,0.556,0.198,,,31.53,17.53,148.59
12,2048,0.446,0.156,,,39.14,17.46,166.05
13,4096,0.359,0.118,,,44.79,16.08,182.13
14,8192,0.275,0.092,,,54.46,14.98,197.1
15,16384,0.212,0.073,,,68.57,14.54,211.64
16,32768,0.168,0.06,,,92.65,15.57,227.21
17,65536,0.134,0.054,,,150.09,20.11,247.32
18,131072,0.12,0.05,,,257.36,30.88,278.2
19,262144,0.092,0.047,,,454.81,41.84,320.04
20,524288,0.08,0.045,,,833.84,66.71,386.75
21,1048576,0.07,0.044,,,1594.39,111.61,498.36
22,2097152,0.063,0.044,,,3188.78,200.89,699.25
23,4194304,0.057,0.043,,,6090.97,347.19,1046.44
24,8388608,0.053,0.043,,,12181.95,645.64,1692.08
25,3.00E+08,0.025,0.03,,,,3781.8,5563.88
